Time,PWM,ToF
4003.00000000,70.00000000,9.00000000
4014.00000000,70.00000000,9.10800000
4025.00000000,70.00000000,9.21700000
4040.00000000,70.00000000,9.36600000
4050.00000000,70.00000000,9.46500000
4060.00000000,70.00000000,9.56400000
4070.00000000,70.00000000,9.66300000
4078.00000000,70.00000000,9.74200000
4083.00000000,70.00000000,9.79200000
4095.00000000,70.00000000,9.91000000
4100.00000000,-70.00000000,8.00000000
4115.00000000,70.00000000,7.84500000
4125.00000000,70.00000000,7.74200000
4135.00000000,70.00000000,7.63900000
4146.00000000,70.00000000,7.52500000
4157.00000000,70.00000000,7.41200000
4163.00000000,70.00000000,7.35000000
4172.00000000,70.00000000,7.25700000
4183.00000000,70.00000000,7.14400000
4194.00000000,70.00000000,7.30000000
4209.00000000,70.00000000,6.87600000
4219.00000000,70.00000000,6.77300000
4229.00000000,70.00000000,6.67000000
4239.00000000,70.00000000,6.56700000
4249.00000000,70.00000000,6.46300000
4260.00000000,70.00000000,6.35000000
4271.00000000,70.00000000,6.23700000
4284.00000000,70.00000000,6.10300000
4294.00000000,70.00000000,6.00000000
4304.00000000,70.00000000,5.89600000
4315.00000000,70.00000000,5.78300000
4326.00000000,70.00000000,5.67000000
4337.00000000,70.00000000,5.55600000
4343.00000000,70.00000000,5.49400000
4348.00000000,70.00000000,5.44300000
4357.00000000,70.00000000,5.35000000
4368.00000000,70.00000000,5.23700000
4379.00000000,70.00000000,5.12300000
4390.00000000,70.00000000,5.10000000
4401.00000000,70.00000000,4.89600000
4407.00000000,70.00000000,4.83500000
4413.00000000,70.00000000,4.77300000
4424.00000000,70.00000000,4.65900000
4435.00000000,70.00000000,4.54600000
4446.00000000,70.00000000,4.43200000
4457.00000000,70.00000000,4.31900000
4468.00000000,70.00000000,4.20600000
4483.00000000,70.00000000,4.51000000
4488.00000000,70.00000000,4.00000000
4503.00000000,70.00000000,7.00000000
4513.00000000,70.00000000,6.97500000
4523.00000000,70.00000000,6.95000000
4534.00000000,70.00000000,6.92300000
4545.00000000,70.00000000,6.89500000
4556.00000000,70.00000000,6.86800000
4562.00000000,70.00000000,6.85300000
4569.00000000,70.00000000,6.83600000
4580.00000000,70.00000000,6.80800000
4591.00000000,70.00000000,6.78100000
4602.00000000,70.00000000,8.00000000
4613.00000000,70.00000000,8.11100000
4624.00000000,70.00000000,8.22200000
4636.00000000,70.00000000,8.34300000
4646.00000000,70.00000000,8.44400000
4657.00000000,70.00000000,8.55500000
4669.00000000,70.00000000,8.67600000
4680.00000000,70.00000000,8.78700000
4691.00000000,70.00000000,8.89800000
4702.00000000,70.00000000,9.10000000
4713.00000000,70.00000000,9.12100000
4719.00000000,70.00000000,9.18100000
4728.00000000,70.00000000,9.27200000
4739.00000000,70.00000000,9.38300000
4749.00000000,70.00000000,9.48400000
4760.00000000,70.00000000,9.59500000
4771.00000000,70.00000000,9.70700000
4777.00000000,70.00000000,9.76700000
4785.00000000,70.00000000,9.84800000
4796.00000000,-70.00000000,9.00000000
4807.00000000,70.00000000,9.56000000
4816.00000000,70.00000000,9.10300000
4826.00000000,70.00000000,9.15400000
4837.00000000,70.00000000,9.21100000
4848.00000000,70.00000000,9.26800000
4859.00000000,70.00000000,9.32400000
4870.00000000,70.00000000,9.38100000
4885.00000000,70.00000000,9.45800000
4892.00000000,70.00000000,9.49400000
4897.00000000,-70.00000000,8.00000000
4912.00000000,70.00000000,7.85100000
4922.00000000,70.00000000,7.75200000
4932.00000000,70.00000000,7.65300000
4942.00000000,70.00000000,7.55400000
4953.00000000,70.00000000,7.44500000
4964.00000000,70.00000000,7.33600000
4975.00000000,70.00000000,7.22700000
4986.00000000,70.00000000,7.11800000
4997.00000000,70.00000000,7.90000000
5008.00000000,70.00000000,6.90000000
5019.00000000,70.00000000,6.79200000
5030.00000000,70.00000000,6.68300000
5041.00000000,70.00000000,6.57400000
5052.00000000,70.00000000,6.46500000
5063.00000000,70.00000000,6.35600000
5078.00000000,70.00000000,6.20700000
5088.00000000,70.00000000,6.10800000
5098.00000000,70.00000000,7.00000000
5108.00000000,70.00000000,6.95000000
5115.00000000,70.00000000,6.91500000
5120.00000000,70.00000000,6.89000000
5136.00000000,70.00000000,6.81000000
5147.00000000,70.00000000,6.75600000
5158.00000000,70.00000000,6.70100000
5169.00000000,70.00000000,6.64600000
5184.00000000,70.00000000,6.57200000
5194.00000000,70.00000000,6.52200000
5204.00000000,70.00000000,8.00000000
5214.00000000,70.00000000,8.94000000
5224.00000000,70.00000000,8.18800000
5235.00000000,70.00000000,8.29200000
5246.00000000,70.00000000,8.39600000
5257.00000000,70.00000000,8.49900000
5263.00000000,70.00000000,8.55600000
5270.00000000,70.00000000,8.62200000
5281.00000000,70.00000000,8.72600000
5292.00000000,70.00000000,8.83000000
5300.00000000,-70.00000000,7.00000000
5311.00000000,70.00000000,6.88500000
5319.00000000,70.00000000,6.80200000
5330.00000000,70.00000000,6.68700000
5345.00000000,70.00000000,6.53100000
5353.00000000,70.00000000,6.44700000
