2024-04-17 12:23:36,428 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-17 12:23:39,165 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-17 12:24:54,666 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-17 12:25:05,532 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-17 12:25:08,132 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-17 12:26:49,881 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-17 12:27:01,274 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-17 12:27:04,365 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-17 12:28:31,416 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-17 12:28:37,702 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-17 12:28:41,566 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-17 12:35:34,971 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 16:38:34,162 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 16:38:34,163 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 16:38:34,163 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 16:38:37,025 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 16:42:06,821 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 16:42:18,105 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 16:42:18,107 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 16:42:18,107 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 16:42:21,121 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 16:42:42,352 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 18:00:48,009 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 18:00:48,010 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 18:00:48,010 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 18:00:50,693 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 18:01:13,548 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 18:02:19,761 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 18:02:19,761 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 18:02:19,762 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 18:02:22,766 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 18:04:09,388 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 18:04:12,856 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 18:04:18,063 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 18:04:20,692 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 18:16:23,282 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 18:16:23,282 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 18:16:23,282 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 18:16:26,227 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 18:17:08,230 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 18:22:10,547 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 18:22:10,547 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-05-05 18:22:10,547 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 18:22:13,582 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 18:27:25,344 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 18:28:24,510 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-05-05 18:28:24,511 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
